2020-06-13 03:55:21.898  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 03:56:00.536  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 04:15:41.457  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 04:16:00.011  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 04:26:22.122  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 04:36:21.478  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 04:46:21.144  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 04:47:00.539  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 05:06:42.122  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 05:07:00.467  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 05:17:20.576  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 05:27:20.298  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 05:37:21.779  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 05:47:20.763  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 05:48:00.751  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
